palette_name,region_inspired,description,hex_1,hex_2,hex_3,hex_4,hex_5,fabric_use,thematic_tags
"Desert Frequency",Sahara,"Mineral vibrations from ancient dunes meeting twilight radio waves—colors that hum beneath solar heat.",#D7C9AA,#B85C50,#3A2E2A,#E9B44C,#5F6F52,reversible polos,ancestral,heat-reactive
"Tokyo Gospel Fog",Japan,"Neon shrine glow diffused through rain-slick alley mist—urban prayers in electric pastels.",#F0F6FA,#B8B8FF,#6D72C3,#FF70A6,#1A1A23,flip-print T-shirts,futurism,monochrome
"Zulu Sunset Transmission",Southern Africa,"Horizons where ancestral ochre bleeds into digital violet—storytelling at celestial shift.",#FF6B35,#5B8C85,#2E294E,#E8C547,#D62246,holographic hoodies,faith-tech,UV-reactive
"Amazonian Ghost Green",Borneo Rainforest,"Unseen chlorophyll frequencies in decaying canopy light—jungle memory in spectral layers.",#1E3F20,#8A9B68,#C9D4C4,#4A7B59,#2C5D63,modular joggers,eco,ancestral
"Arctic Data Bloom",Nordic Tundra,"Glacial blue fractals thawing into server-farm pinks—frozen wisdom meeting warm circuitry.",#A8DADC,#457B9D,#F1FAEE,#E63946,#1D3557,UV-reactive hats,futurism,heat-reactive
"Caribbean Salt Hymn",Jamaican Coast,"Turquoise psalms sung over coral bone-white—oceanic devotion in liquid gradients.",#00A6A6,#EFCA08,#F49F0A,#BBDEF0,#DDF8E8,smart-dry swimwear,eco,monochrome
"Gobi Static Gold",Mongolian Steppe,"Dust-charged amber interrupting void-black—nomadic signals in electromagnetic silence.",#000000,#D4AF37,#C0BABC,#8A716A,#F5F5DC,map-coded button-downs,ancestral,heat-reactive
"Baltic Soul Mist",Scandinavian Coast,"Pearl-gray melancholy lifting into herring-silver hope—horizon lines as emotional waypoints.",#E0FBFC,#98C1D9,#3D5A80,#293241,#EE6C4D,minimalist sweatshirts,monochrome,futurism
"Andean Condor Code",Peruvian Highlands,"Terra-cotta encryption unraveling in condor-wing shadows—mountain messages in mineral language.",#774936,#8A9A5B,#C4A381,#E5D1D0,#3C1518,bandanas,ancestral,faith-tech
"Kerala Spice Signal",Indian Subcontinent,"Turmeric warnings bleeding into cardamom calm—chromatic semaphore for street prophets.",#F4A261,#2A9D8F,#E76F51,#264653,#E9C46A,tote bags,heat-reactive,poetry
"Siberian Thaw Vector",Russian Taiga,"Permafrost blue cracking into sudden birch-white—accelerated transformation in polar shifts.",#8ECAE6,#219EBC,#023047,#FFB703,#FB8500,modular trackwear,futurism,eco
"Aboriginal Dream Grid Outback Outback,"Songline reds intersecting ochre waypoints—ancestral cartography in sacred geometry.",#E27D60,#85DCB,#E8A87C,#C38D9E,#41B3A3,reversible shirts,ancestral,faith-tech
"Alpine Echo White",Swiss Alps,"Glacier-core blue wrapped in avalanche white—altitude silence amplified by valley echoes.",#F8F9FA,#DEE2FF,#E7C6FF,#C8B6FF,#B8C0FF,inside-hood linings,monochrome,futurism
"Mayan Starlight Glyph",Mesoamerica,"Obsidian ritual black holding jade star-traces—cosmic mathematics in temple pigments.",#0B132B,#1C2541,#3A506B,#5BC0BE,#6FFFE9,flip-print T-shirts,faith-tech,UV-reactive
"Patagonian Wind Script",Argentinian Steppe,"Grass-green resilience fading into guanaco-gray—wind-carved poetry on open pages.",#606C38,#283618,#FEFAE0,#DDA15E,#BC6C25,detachable trackwear,eco,ancestral
"Bantu Rhythm Blue",Congo Basin,"Indigo drumbeats syncopated with copper highlights—liquid time signatures in textile form.",#0D1B2A,#1B263B,#415A77,#778DA9,#E0E1DD,wearable bandanas,faith-tech,poetry
"Volga River Gospel",Russian Heartland,"Slate-blue orthodox devotion flowing into salmon-pink revelation—baptismal currents.",#8D99AE,#EDF2F4,#EF233C,#D90429,#2B2D42,bucket hat brims,faith-tech,monochrome
"Sapporo Snow Data",Hokkaido,"Quantified frost-white layered over server-rack grays—urban winter as information architecture.",#F8F9FA,#DEE2E6,#ADB5BD,#6C757D,#495057,minimalist sweatshirts,futurism,heat-reactive
"Atlas Mountain Breath",Morocco,"Rust-red earth exhaling into mint-cool shadows—altitude gradients as respiratory patterns.",#D4A373,#BC6C25,#606C38,#283618,#FEFAE0,reversible polos,ancestral,eco
"Polynesian Tide Memory",Pacific Islands,"Coral-reef pinks dissolving into abyss-purple—oceanic remembrance in liquid archives.",#FFAFCC,#FFC8DD,#FFD7E4,#CDB4DB,#A2D2FF,smart-dry shorts,UV-reactive,poetry
palette_name,region_inspired,description,hex_1,hex_2,hex_3,hex_4,hex_5,fabric_use,thematic_tags
"Desert Frequency",Sahara,"Resonant sands at dawn—shifting from cool shadow to molten light. Wear this spectrum when boundaries dissolve.",#D4C8B0,#E3A15F,#9B5C2F,#4A3022,#F0E6D2,reversible polos,ancestral,heat-reactive
"Tokyo Gospel Fog",Tokyo Metropolis,"Neon prayers diffused through rain-slick streets. Urban spirituality in concrete and electric mist.",#3F3F4C,#7D7E99,#B4A5C4,#E6D3E2,#FF5E7A,flip-print T-shirts,futurism,monochrome
"Zulu Sunset Transmission",Zululand,"Horizon wisdom where ochre earth meets indigo twilight. Colors that carry ancestral messages.",#FF9A00,#C53D2D,#5A2A44,#1A1A2E,#E8C8A8,holographic hoodies,faith-tech,ancestral
"Arctic Prayer Hymn",Sápmi Territories,"Northern lights trapped in ice crystals—a luminous chant for endurance and clarity.",#A6D6D6,#6BA3B8,#2E4C6D,#E8F4F8,#C4DEE8,minimalist sweatshirts,spiritual,eco
"Amazonian Breath Green",Amazon Basin,"Photosynthesis as sacred rhythm—chlorophyll depths breathing through canopy light.",#1C3A13,#4F7942,#8A9A5B,#D0D6B3,#2C5D4A,modular joggers,eco,ancestral
"Caribbean Coral Psalm",Caribbean Coast,"Reef resurrection hues—bleached sorrow transforming into fluorescent hope.",#FF6B6B,#4ECDC4,#FFE66D,#1A535C,#F7FFF7,smart-dry swimwear,heat-reactive,eco
"Andean Condor Sky",Andes Mountains,"Thin-air blues where eagles carve thermals—altitude as spiritual elevation.",#3A5F7D,#6A93C0,#9CC4D9,#D4E4F2,#1E3F5E,map-coded button-downs,ancestral,futurism
"Baltic Salt Memory",Baltic Sea,"Frozen shorelines whispering brine and pine—monochromatic melancholy with resilience.",#5D8AA8,#7EB2C4,#A9C9D3,#D4E6ED,#2C4A62,UV-reactive hats,monochrome,eco
"Gobi Wind Script",Gobi Desert,"Sand-etched narratives in faded ochre and sudden lapis—ancient winds rewriting surfaces.",#C19A6B,#E2C275,#3A75C4,#8B4513,#F5F0E1,tote bags,ancestral,heat-reactive
"Kyoto Moss Silence",Kyoto Gardens,"Zen gradients—stone grays bleeding into matcha greens. Stillness woven into fabric.",#7F8E7E,#A6B199,#D0D8C9,#4A593D,#E9EDE1,bandanas,spiritual,monochrome
"Maori Star Navigate",Aotearoa,"Southern Cross constellations mapped in volcanic blacks and phosphorescent blues.",#0C1B33,#1D3461,#5D8CAE,#F2F2F2,#A67C52,reversible polos,faith-tech,futurism
"Siberian Birch Whisper",Siberian Taiga,"Frost-burned whites yielding to resilient sap greens—survival as subtle transformation.",#F8F4E6,#C4DAC8,#7A9A7E,#3C6255,#2C3E36,inside-hood linings,eco,spiritual
"Venice Lagoon Mirror",Venetian Canals,"Algae greens fractured by palazzo gold—reflections holding centuries of secrets.",#006E6D,#00A896,#F0C65A,#C44536,#E6E3D3,flip-print T-shirts,futurism,heat-reactive
"Himalayan Glacier Breath",Himalayas,"Thinned-air violets meeting eternal snow—colors that ache with altitude.",#8DA9C4,#C4D7F2,#6C5B7B,#3A405A,#E9ECF1,minimalist sweatshirts,spiritual,monochrome
"Aboriginal Songline",Australian Outback,"Dot-painted ochres tracing creation paths—earth pigments singing ancestral journeys.",#E27E36,#C45A1F,#8C3E37,#4A2C2A,#E9D7C1,bucket hat brims,ancestral,UV-reactive
"Patagonia Wind Cry",Patagonian Steppe,"Howling blues and sudden meadow golds—solitude interrupted by fragile blooms.",#2A5C7A,#5C9EBC,#C4A35F,#8C6A4D,#E4DFD1,modular trackwear,eco,futurism
"Istanbul Bazaar Soul",Anatolian Crossroads,"Spice-market crimsons, lapis tiles, and copper patinas—chaos distilled into harmony.",#AF1E2D,#2C5D8C,#E5A93B,#5A3A31,#EADED3,tote bags,faith-tech,heat-reactive
"Balinese Offering Gold",Bali,"Frangipani whites against volcanic blacks—ritual balance in ceremonial contrast.",#000000,#FFFFFF,#FFD700,#8B0000,#F5F5F5,reversible shirts,spiritual,monochrome
"Mississippi Mud Memory",Mississippi Delta,"River-silt browns bleeding into blues—sediment layers holding histories.",#3C2F2F,#4B4237,#A67B5B,#1E3F66,#D9C6A5,detachable trackwear,ancestral,eco
"Saharan Star Scorch",Saharan Nights,"Supernova scarlets cooled by indigo voids—cosmic heat meeting desert chill.",#B22222,#4B0082,#000000,#F0F0F0,#E258UV-reactiveUV-reactive hats,futurism,heat-reactive
palette_name,continent,hex_codes,mood_keywords,spiritual_reference,suggested_products
Ashes of Eden,Africa,"#8B7355,#D4AF37,#2F1B14,#F5DEB3","ancestral,golden,earth,sacred","first garden remembered","T-Shirts,Hoodies,Scarves / Bandanas"
Sahara Pulse,Africa,"#E3B505,#F28C28,#8B4513,#FFE5B4","heat,rhythm,endless,ancient","forty days wandering","Shorts,Bucket Hats & Caps,All-Over Print Button-Down Shirts"
Kilimanjaro Crown,Africa,"#4682B4,#FFFAFA,#708090,#2F4F4F","summit,pure,stone,ascent","mountain of transfiguration","Hoodies,Joggers & Track Pants,Tote Bags"
Lagos Neon Testament,Africa,"#FF1493,#00CED1,#FFD700,#8B008B","electric,urban,vibrant,future","new jerusalem lights","T-Shirts,Polo Shirts,Bucket Hats & Caps"
Tokyo Afterrain,Asia,"#4B0082,#FF69B4,#00FFFF,#C0C0C0","neon,wet,digital,zen","cleansing flood","Hoodies,Joggers & Track Pants,Scarves / Bandanas"
Himalayan Void,Asia,"#F0F8FF,#B0C4DE,#4169E1,#191970","altitude,thin,eternal,silence","still small voice","Sweatshirts,Tote Bags,All-Over Print Button-Down Shirts"
Silk Road Prophecy,Asia,"#DC143C,#FFD700,#4B0082,#F0E68C","trade,mystic,journey,ancient","gifts of the magi","Polo Shirts,Scarves / Bandanas,Tote Bags"
Monsoon Oracle,Asia,"#2E8B57,#48D1CC,#4682B4,#708090","rain,green,renewal,storm","waters above and below","T-Shirts,Shorts,Bucket Hats & Caps"
Baltic Frost Gospel,Europe,"#E0FFFF,#B0E0E6,#87CEEB,#6495ED","cold,clear,maritime,northern","walking on water","Hoodies,Sweatshirts,Joggers & Track Pants"
Roman Twilight Code,Europe,"#8B4513,#CD853F,#DEB887,#F5DEB3","ancient,warm,stone,empire","render unto caesar","Polo Shirts,All-Over Print Button-Down Shirts,Tote Bags"
Alpine Signal White,Europe,"#FFFAFA,#F0FFF0,#F5FFFA,#F0F8FF","pure,height,clean,minimal","transfiguration white","T-Shirts,Sweatshirts,Scarves / Bandanas"
Iberian Fire Dance,Europe,"#FF4500,#FFD700,#8B0000,#FF6347","passion,sun,blood,celebration","tongues of fire","Shorts,Bucket Hats & Caps,All-Over Print Button-Down Shirts"
Manhattan Rapture,North America,"#2F4F4F,#696969,#C0C0C0,#FFD700","steel,ambition,vertical,gold","babel reversed","Hoodies,Joggers & Track Pants,Tote Bags"
Desert Prophet Palette,North America,"#CD853F,#F4A460,#DEB887,#FFE4B5","sand,vision,heat,mirage","voice in the wilderness","T-Shirts,Shorts,Bucket Hats & Caps"
Redwood Cathedral,North America,"#8B4513,#228B22,#006400,#8FBC8F","ancient,tall,forest,sacred","tree of life","Sweatshirts,Polo Shirts,Scarves / Bandanas"
Miami Vice Virtue,North America,"#FF1493,#00CED1,#FF69B4,#FFFF00","neon,tropical,night,electric","new heaven colors","T-Shirts,Shorts,All-Over Print Button-Down Shirts"
Amazon Emerald Throne,South America,"#006400,#228B22,#32CD32,#00FF00","jungle,life,dense,breathing","garden before the fall","Hoodies,Joggers & Track Pants,Tote Bags"
Andean Sky Portal,South America,"#4169E1,#1E90FF,#00BFFF,#87CEEB","altitude,thin,blue,infinite","jacob's ladder","Sweatshirts,Polo Shirts,Scarves / Bandanas"
Carnival Apocalypse,South America,"#FF1493,#FFD700,#00FF00,#FF4500","celebration,chaos,joy,explosion","feast of jubilee","T-Shirts,Shorts,Bucket Hats & Caps"
Patagonia End Times,South America,"#708090,#778899,#696969,#2F4F4F","remote,wind,stone,final","edge of the world","Hoodies,Sweatshirts,All-Over Print Button-Down Shirts"
Coral Revelation,Oceania,"#FF7F50,#FF6347,#FA8072,#FFA07A","reef,life,underwater,glow","living stones","T-Shirts,Shorts,Scarves / Bandanas"
Outback Burning Bush,Oceania,"#B22222,#D2691E,#A0522D,#8B4513","fire,earth,ancient,sacred","holy ground","Polo Shirts,Bucket Hats & Caps,Tote Bags"
Pacific Void Blue,Oceania,"#000080,#0000CD,#0000FF,#4169E1","deep,endless,ocean,mystery","waters of creation","Hoodies,Joggers & Track Pants,All-Over Print Button-Down Shirts"
Maori Jade Testament,Oceania,"#00FF7F,#2E8B57,#3CB371,#20B2AA","jade,sacred,tribal,protection","shield of faith","Sweatshirts,Polo Shirts,Tote Bags"
Antarctic White Throne,Antarctica,"#FFFFFF,#F8F8FF,#F5F5F5,#DCDCDC","pure,cold,judgment,eternal","great white throne","Hoodies,Sweatshirts,Joggers & Track Pants"
Aurora Covenant,Antarctica,"#00FF00,#FF1493,#00CED1,#FFD700","light,dance,magnetic,promise","rainbow after flood","T-Shirts,Scarves / Bandanas,All-Over Print Button-Down Shirts"
Glacier Psalm,Antarctica,"#B0E0E6,#87CEEB,#87CEFA,#00BFFF","ice,ancient,blue,preserved","frozen in time","Polo Shirts,Tote Bags,Bucket Hats & Caps"
Polar Night Vision,Antarctica,"#191970,#000080,#00008B,#4B0082","darkness,stars,endless,waiting","watchman's hour","Hoodies,Sweatshirts,Joggers & Track Pants"

palette_name,continent,hex_codes,mood_keywords,spiritual_reference,suggested_products
"Savanna Ember",Africa,"#E27D60, #C38D9E, #41B3A3","vibrant, raw, transformative","ancestral fire","Hoodies – Holographic contrast, faith-tech glow"
"Desert Mirage",Africa,"#F5A623, #D0021B, #D8D8D8, #4A90E2","mystic, arid, enigmatic","spiritual pilgrimage","Polo Shirts – Embroidered gradients, sport-luxury blends"
"Nile Reverie",Africa,"#2E4053, #66A182, #C4D7B2, #F2E9E1","fluid, legendary, serene","river of time","Tote Bags – Manifesto color blocking, reversible contrasts"
"Lotus Skyline",Asia,"#F7CAC9, #92A8D1, #034F84","serene, urban, dynamic","blooming potential","All-Over Print Button-Down Shirts – Continental identities, barcode tones"
"Neon Zen",Asia,"#E94E77, #D68189, #C6A49A, #C6E5D9","electric, meditative, avant-garde","digital enlightenment","Joggers & Track Pants – Urban-neutral or modular contrast sets"
"Silk Road Reverberation",Asia,"#B388EB, #7E57C2, #5C6BC0, #3F51B5","ancient, mystical, resilient","woven destiny","Scarves / Bandanas – Parable gradients, neck-symbol contrasts"
"Old World Luminescence",Europe,"#8E44AD, #2980B9, #27AE60","regal, introspective, timeless","renaissance spirit","Polo Shirts – Embroidered gradients, sport-luxury blends"
"Canvas of Ages",Europe,"#F39C12, #D35400, #C0392B, #16A085","nostalgic, elegant, visionary","mythic rebirth","Sweatshirts – Soft prophecy hues, geometry-muted tones"
"Midnight Sonata",Europe,"#2C3E50, #34495E, #7F8C8D","mysterious, nocturnal, poetic","divine mystery","Bucket Hats & Caps – UV-reactive brims, signal shade stories"
"Urban Exodus",North America,"#BDC3C7, #34495E, #2ECC71","rebellious, modern, liberating","future liberation","T-Shirts – Flip-reveal prints, dual-story tones"
"Liberty Ember",North America,"#E74C3C, #F1C40F, #2C3E50","fiery, bold, revolutionary","ritual defiance","Joggers & Track Pants – Urban-neutral or modular contrast sets"
"Digital Frontier",North America,"#1ABC9C, #2C3E50, #E67E22","innovative, electric, fearless","cyber awakening","All-Over Print Button-Down Shirts – Continental identities, barcode tones"
"Amazon Serenade",South America,"#55B748, #A4DE02, #FFC300","vibrant, lush, untamed","jungle mysticism","Tote Bags – Manifesto color blocking, reversible contrasts"
"Carnival Eclipse",South America,"#F012BE, #B10DC9, #85144B","festive, dynamic, eclectic","sacred celebration","Shorts – Signal flag palettes, coastal-futurist hues"
"Patagonia Pulse",South America,"#FF4136, #0074D9, #2ECC40, #FFDC00","raw, elemental, adventurous","nature’s heartbeat","Hoodies – Holographic contrast, faith-tech glow"
"Coral Dreamtime",Oceania,"#FF6F61, #6B5B95, #88B04B","ethereal, sun-kissed, organic","oceanic lore","Bucket Hats & Caps – UV-reactive brims, signal shade stories"
"Southern Sky",Oceania,"#4A90E2, #50E3C2, #9013FE","vast, dreamy, endless","skyward journey","Polo Shirts – Embroidered gradients, sport-luxury blends"
"Aboriginal Echo",Oceania,"#D35400, #E67E22, #F39C12","ancestral, warm, vibrant","timeless lore","Sweatshirts – Soft prophecy hues, geometry-muted tones"
